BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,32, ,A1, 541 SYCAMORE STREET                       ,            ,10312,1,0,1,"13,320","4,696",1985, 1 , A1 ,"$1,200,000",8/15/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5401,38, ,A1, 27 WEAVER STREET                          ,            ,10312,1,0,1,"10,833","2,128",1980, 1 , A1 ,"$127,500",9/26/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5402,43, ,A1, 295 HAROLD AVENUE                         ,            ,10312,1,0,1,"6,700","3,348",1980, 1 , A1 ,"$600,000",5/31/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,11, ,A1, 24 ELMBANK STREET                         ,            ,10312,1,0,1,"5,000","1,520",1910, 1 , A1 ,"$237,276",11/29/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,23, ,A5, 81 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,546","1,579",1986, 1 , A5 ,"$322,500",3/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,126, ,A5, 20 MAY PLACE                              ,            ,10312,1,0,1,"2,475","2,495",1986, 1 , A5 ,"$380,000",8/16/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,28, ,A1, 96 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"5,400","2,376",1970, 1 , A1 ,"$535,000",12/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,33, ,A5, 20 LUCY LOOP                              ,            ,10312,1,0,1,"2,320","2,200",2000, 1 , A5 ,"$360,000",7/2/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,81, ,B2, 1076 ARDEN AVENUE                         ,            ,10312,2,0,2,"4,200","2,807",2012, 1 , A2 ,"$230,000",4/13/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,85, ,A1, 1086 ARDEN AVENUE                         ,            ,10312,1,0,1,"4,200",882,1925, 1 , A1 ,$0,10/24/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6214,35, ,A5, 54 EAGAN AVENUE                           ,            ,10312,1,0,1,"2,400","1,852",2000, 1 , A5 ,$0,3/27/2012
