BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,56,,A5,30 BAY 10,,11228,1,0,1,"1,547","1,428",1930,1,A5,"75,000",6/1/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6362,23,,A9,43 BAY 11TH STREET,,11228,1,0,1,"2,280","1,052",1901,1,A9,"825,000",3/31/2023
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,62,,A9,44 BAY 13TH STREET,,11214,1,0,1,"3,575","2,104",1901,1,A9,"990,000",10/18/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6372,34,,A9,8637 19TH AVENUE,,11214,1,0,1,"2,417","2,154",1930,1,A9,0,9/20/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,73,,A1,50 BAY 23RD STREET,,11214,1,0,1,"2,417","1,672",1930,1,A1,0,8/18/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,85,,A1,84 BAY 23RD STREET,,11214,1,0,1,"5,738","2,514",1935,1,A1,0,4/19/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,85,,A1,84 BAY 23RD STREET,,11214,1,0,1,"5,738","2,514",1935,1,A1,0,7/1/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6379,42,,S1,2142 86TH STREET,,11214,1,1,2,"1,600","2,640",1925,1,S1,"2,430,000",7/27/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6405,148,,S1,1865 BATH AVENUE,,11214,1,1,2,"1,125","1,800",1920,1,S1,"955,000",10/28/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,57,,A5,8806 16TH AVENUE,,11214,1,0,1,"1,655","1,156",1951,1,A5,"900,000",5/27/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,32,,S1,2014 BATH AVENUE,,11214,1,1,2,"1,246","1,596",1925,1,S1,0,7/25/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,16,,A3,8913 15TH AVENUE,,11228,1,0,1,"3,867","5,330",1935,1,A3,10,7/27/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,64,,A5,294 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A5,"1,099,000",10/27/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,83,,A5,303 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,0,4/8/2022
